Muhammad Abduh, (1849–1905)[d]
Gaetano Mosca, (1858–1941)[a]
John Henry Muirhead, (1855–1940)
Max Müller, (1823–1900)
Nārāyana Guru, (1856–1928)
Paul Gerhard Natorp, (1854–1924)[e]
John Neihardt, (1881–1973)
Leonard Nelson, (1882–1927)
Otto Neurath, (1882–1945)[b][c][d]
John Henry Newman, (1801–1890)[a][d]
H. Richard Niebuhr, (1894–1962)[d]
Reinhold Niebuhr, (1892–1971)[d]
Friedrich Nietzsche, (1844–1900)[a][b][c][d][e]
Nishi Amane, (1829–1897)[d]
Nishida Kitaro, (1870–1945)[b][c][d][e]
Shalva Nutsubidze, (1888–1969)
Anders Nygren, (1890–1978)[d]
Georges Ohsawa, (1893–1966)
Karl Olivecrona, (1897–1980)[d]
John Wood Oman, (1860–1939)[d]
José Ortega y Gasset, (1883–1955)[a][b][c][d]
Rudolf Otto, (1869–1937)[d]
P. D. Ouspensky, (1878–1947)
Vilfredo Pareto, (1848–1923)
Giuseppe Peano, (1858–1932)[b][c]
Benjamin Peirce, (1809–1880)[e]
Charles Sanders Peirce, (1839–1914)[a][b][c][d][e]
Ralph Barton Perry, (1876–1957)[a][b][c]
Leon Petrazycki, (1867–1931)[d]
Jean Piaget, (1896–1980)[a][d]
Max Planck, (1858–1947)[b][c][d]
Georgi Plekhanov, (1856–1918)[a][b][c][d]
Konstantin Pobedonostsev, (1827–1907)
Henri Poincaré, (1854–1912)[a][b][c][d]
Michael Polanyi, (1891–1976)[d]
Emil Leon Post, (1897–1954)[d]
Roscoe Pound, (1870–1964)[d]
Karl von Prantl, (1820–1888)
Henry Habberley Price, (1899–1984)[b][c]
Harold Arthur Prichard, (1871–1947)[a][b][c][d]
Pierre-Joseph Proudhon, (1809–1865)[a][b][c][d]
Gustav Radbruch, (1878–1949)[d]
Sarvepalli Radhakrishnan, (1888–1975)[b][c][d]
Hastings Rashdall, (1858–1924)[a][b][c][d]
Felix Ravaisson-Mollien, (1813–1900)[d]
Paul Rée, (1849–1901)[b][c]
Wilhelm Reich, (1897–1957)[b][c]
Hans Reichenbach, (1891–1953)[a][b][c][d]
Adolf Reinach, (1883–1917)[d]
Karl Renner, (1870–1950)[d]
Charles Bernard Renouvier, (1815–1903)[a][b][c][d]
I. A. Richards, (1893–1979)
Heinrich Rickert, (1863–1936)[e]*
Bernhard Riemann, (1826–1866)
George Croom Robertson, (1842–1892)
Erwin Rohde, (1845–1898)
Francisco Romero (1891–1962)[b][c]
Johann Karl Friedrich Rosenkranz, (1805–1879)
Franz Rosenzweig, (1886–1929)[a][b][c][d]
Alf Niels Christian Ross, (1899–1979)[d]
William David Ross, (1877–1971)[a][b][c][d]
Josiah Royce, (1865–1916)[a][b][c][d][e]
Vasily Rozanov, (1856–1919)[d]
Arnold Ruge, (1802–1880)[d]
Bertrand Russell, (1872–1970)[a][b][c][d][e]
Émile Saisset, (1814–1863)
George Santayana, (1863–1952)[a][b][c][d][e]
Ferdinand de Saussure, (1857–1913)[a][d]
Max Scheler, (1874–1928)[a][b][c][d]
F. C. S. Schiller, (1864–1937)[d]
Moritz Schlick, (1882–1936)[b][c][d]
Carl Schmitt, (1888–1985)[d]
Erwin Schrödinger, (1887–1961)[a]
Joseph Schumpeter, (1883–1950)[d]
Alfred Schütz, (1899–1959)[b][c][d][e]
Albert Schweizer, (1875–1965)
Charles Secrétan, (1815–1895)
Roy Wood Sellars, (1880–1973)[b][c]
Lev Shestov, (1866–1938)[d]
Gustav Gustavovich Shpet, (1879–1937)[a][d]
Henry Sidgwick, (1838–1900)[a][b][c][d][e]
Georg Simmel, (1858–1918)[a][d]
Thoralf Skolem, (1887–1963)[a]
Vladimir Solovyov, (1853–1900)[a][b][c][d]
Georges Sorel, (1847–1922)[a][b][c][d]
William Ritchie Sorley, (1855–1935)
Othmar Spann, (1878–1950)
Herbert Spencer, (1820–1903)[a][b][c][d][e]
Thomas Spencer Baynes, (1823–1887)
Oswald Spengler, (1880–1936)
Afrikan Spir, (1837–1890)[a]
Lysander Spooner, (1808–1887)
Walter Terence Stace, (1886–1967)
Henry Stanton, (1805–1887)
Olaf Stapledon, (1886–1950)
L. Susan Stebbing, (1885–1943)
Edith Stein, (1891–1942)
Rudolf Steiner, (1861–1925)[a][d]
Leslie Stephen, (1832–1904)[a]
James Hutchison Stirling, (1820–1909)
Max Stirner, (1806–1856)[a][b][c][d][e]
George Frederick Stout, (1860–1944)[a][b][c]
David Friedrich Strauss, (1808–1874)[d]
Leo Strauss, (1899–1973)[d]
Carl Stumpf, (1848–1936)
James Sully, (1842–1923)
Sun Yat-sen, (1866–1925)[a]
Debendranath Tagore, (1817–1905)
Rabindranath Tagore, (1861–1941)[b][c][d]
Hippolyte Taine, (1828–1893)[d]
T'an Ssu-t'ung, (1864–1898)[a]
Tanabe Hajime, (1885–1962)[b][c][d]
Wladyslaw Tatarkiewicz, (1886–1980)
Harriet Taylor Mill, (1807–1858)[a][d][e]
Gustav Teichmuller (1837–1888)[a]
Pierre Teilhard de Chardin, (1881–1955)[a][d]
William Temple, (1881–1944)[d]
Frederick Robert Tennant, (1866–1957)[d]
Henry David Thoreau, (1817–1862)[a][b][c][d][e]
Paul Tillich, (1886–1965)[a][d]
Alexis de Tocqueville, (1805–1859)[d]
Leo Tolstoy, (1828–1910)[d]
Friedrich Adolf Trendelenburg, (1802–1872)
Ernst Troeltsch, (1865–1923)[a][d]
Leon Trotsky, (1879–1940)[b][c][d]
Benjamin Tucker, (1854–1939)
Kazimierz Twardowski, (1866–1938)[b][c][d]
Pietro Ubaldi, (1886–1972)
Hermann Ulrici, (1806–1884)
Miguel de Unamuno, (1864–1936)[a][b][c][d]
Dimitri Uznadze, (1886–1950)
Hans Vaihinger, (1852–1933)[a][b][c][d]
John Veitch, (1829–1894)
John Venn, (1834–1923)[d]
Milan Vidmar, (1885–1962)
Lev Vygotsky, (1896–1934)[b][c][d]
Boris Petrovich Vysheslavtsev, (1877–1954)[d]
Jean Wahl, (1888–1974)
Friedrich Waismann, (1896–1959)
Alfred Russel Wallace, (1823–1913)[d]
James Ward, (1843–1925)[a]
John B. Watson, (1878–1958)[b][c]
Watsuji Tetsuro, (1889–1960)[b][c][d][e]
Max Weber, (1864–1920)[a][b][c][d][e]*
Otto Weininger, (1880–1903)
Christian Hermann Weisse, (1801–1866)
Victoria, Lady Welby, (1837–1912)
Felix Weltsch, (1884–1964)
Edvard Westermarck, (1862–1939)[a]
Hermann Weyl, (1885–1955)[d]
Frantisek Weyr, (1879–1951)[d]
Alfred North Whitehead, (1861–1947)[a][b][c][d][e]
Wilhelm Windelband, (1848–1915)[a][e]*
Stanislaw Ignacy Witkiewicz, (1885–1939)
Ludwig Wittgenstein, (1889–1951)[a][b][c][d][e]
Woo Tsin-hang, (1865–1953)
Chauncey Wright, (1830–1875)[a][b][c][e]
Dorothy Maud Wrinch, (1894–1976)
Wilhelm Wundt, (1832–1920)[a][d][e]*
Peter Wessel Zapffe, (1899–1990)
Eduard Zeller, (1814–1908)
Ernst Zermelo, (1871–1953)[d]
Zhang Dongsun, (1886–1973)
Florian Znaniecki, (1882–1958)
Xavier Zubiri, (1889–1983)
Elisa Aaltola (born 1976)
Nicola Abbagnano (1901–1990)
Bijan Abdolkarimi (born 1963)
Taha Abdurrahman (born 1944)
David Abram (born 1957)
Gerd B. Achenbach (born 1947)
Peter Achinstein (born 1935)
Hans Achterhuis (born 1942)
H. B. Acton (1908–1974)
Marilyn McCord Adams (born 1943)[b][c]
Robert Merrihew Adams (born 1937)[b][c]
Mortimer Adler (1902–2001)
Theodor Adorno (1903–1969)[a][b][c][d][e]
Sediq Afghan (born 1958)
Michel Aflaq (1910–1989)
Giorgio Agamben (born 1942)
Hans Albert (born 1921)
Rogers Albritton (1923–2002)
Virgil Aldrich (1903–1998)[b]
Gerda Alexander (1908–1994)
Aleksandr Danilovich Aleksandrov (1912–1999)
Robert Alexy (born 1945)
Diogenes Allen (born 1932)
William Alston (1921–2009)[a][b][c]
Louis Althusser (1918–1990)[a][b][c][d]
Günther Anders (1902–1992)
Alan Ross Anderson (1925–1973)[b][c]
C. Anthony Anderson (born 1940)
Pamela Sue Anderson
G. E. M. Anscombe (1918–2001)[a][b][c][d]
Karl-Otto Apel (born 1922)
Kwame Anthony Appiah (born 1954)
Hannah Arendt (1906–1975)[a][b][c][d][e]
David Malet Armstrong (born 1926)[a][b][c][d]
Zaki al-Arsuzi (1899–1968)
Raymond Aron (1905–1983)
Pandurang Shastri Athavale (1920–2003)
Robert Audi (born 1941)
John Langshaw Austin (1911–1960)[a][b][c][d]
Alfred Jules Ayer (1910–1989)[a][b][c][d][e]
Joxe Azurmendi (born 1941)
Kent Bach (born 1943)
Alain Badiou (born 1937)
Archie J. Bahm (1907–1996)
Annette Baier (1929–2012)[b]
Kurt Baier (1917–2010)[b]
Albena Bakratcheva (born 1961)
Tom Baldwin (born 1947)
Étienne Balibar (born 1942)
Hassan al-Banna (1906–1949)
Yehoshua Bar-Hillel (1915–1975)
Jonathan Barnes (born 1942)[b][c]
Brian Barry (1936–2009)[b][c]
Norman P. Barry (1944–2008)
William Barrett (1913–1992)
Roland Barthes (1915–1980)[a][c][d]
Jon Barwise (1942–2000)
Jacques Barzun (1907–2012)
Jean Baudrillard (1929–2007)[c][d][e]
Monroe Beardsley (1915–1985)
Jean Beaufret (1907–1982)
William Bechtel (born 1951)
Lewis White Beck (1913–1997)
Francis J. Beckwith (born 1960)
Nuel Belnap (born 1930)[b][c]
Paul Benacerraf (born 1931)
Jonathan Bennett (born 1930)[b][c]
Geoffrey Bennington (born 1956)
Frithjof Bergmann (born 1930)
Gustav Bergmann (1906–1987)[a][b][c]
Isaiah Berlin (1909–1997)[a][b][c][d][e]
Marshall Berman (1940–2013)
Robert Bernasconi (born 1950)
Andrew Bernstein (born 1949)
Richard Bett
Jean-Yves Béziau (born 1965)
Homi K. Bhabha (born 1949)
Roy Bhaskar (1944–2014)
Harry Binswanger (born 1944)
Max Black (1909–1988)[b][c]
Simon Blackburn (born 1944)[b][c]
Maurice Blanchot (1907–2003)[d]
David Blitz
Ned Block (born 1942)[b][c]
Allan Bloom (1930–1992)
Norberto Bobbio (1909–2004)[b][c][d]
Jozef Maria Bochenski (1902–1995)
Paul Boghossian
Hilary Bok (born 1959)
Sissela Bok (born 1934)
Dietrich Bonhoeffer (1906–1945)[c][d]
Laurence BonJour (born 1943)
George Boolos (1940–1996)
Nick Bostrom (born 1973)
Pierre Bourdieu (1930–2002)[d]
Richard-Bevan Braithwaite (1900–1990)[b][c]
Myles Brand (1942–2009)
Robert Brandom (born 1950)[b][c]
Richard B. Brandt (1910–1997)[a][b]
Michael Bratman (born 1945)
Stephen E. Braude (born 1945)
Harry Brighouse
Berit Brogaard (born 1970)
Stephen Bronner (born 1949)
John Broome (born 1947)
Pascal Bruckner (born 1948)
Mario Bunge (born 1919)
Tyler Burge (born 1946)[b][c]
John Burnheim (born 1928)
Myles Burnyeat (born 1939)[b][c]
Panayot Butchvarov (born 1933)
Judith Butler (born 1956)
Charles Butterworth (born 1938)
Amílcar Cabral (1924–1973)[d]
John Campbell (born 1956)[b][c]
Albert Camus (1913–1960)[a][b][c][d]
Georges Canguilhem (1904–1995)[a]
John D. Caputo (born 1940)
Nancy Cartwright (born 1944)[b][c]
Quassim Cassam (born 1961)
Hector-Neri Castañeda (1924–1991)[a]
David Castle (born 1967)
Cornelius Castoriadis (1922–1997)
Paola Cavalieri (born 1950)
Stanley Cavell (born 1926)[a][b][c][d]
Michel de Certeau (1925–1986)[d]
David Chalmers (born 1966)[c]
Timothy Chambers
David Charles
Haridas Chaudhuri (1913–1975)
Albert Chernenko (1935–2009)
Roderick Chisholm (1916–1999)[a][b][c][d]
Noam Chomsky (born 1928)[a][b][c][d]
Alonzo Church (1903–1995)[a][b][c][d]
Patricia Churchland (born 1943)[a]
Paul Churchland (born 1942)[a][b][c]
Frank Cioffi (1928–2012)
Hélène Cixous (born 1937)[d]
Andy Clark (born 1957)
Stephen R. L. Clark (born 1945)
David Cockburn (born 1949)
Gerald Cohen (1941–2009)[b][c]
L. Jonathan Cohen (1923–2006)[b][c]
Lucio Colletti (1924–2001)[b][c]
Robin Collins
André Comte-Sponville (born 1952)
Marcel Conche (born 1922)
Frederick Copleston (1907–1994)
Jack Copeland (born 1950)
William Lane Craig (born 1949)
Jean Curthoys (born 1947)
Newton da Costa (born 1929)
Mary Daly (1928–2010)
Jonathan Dancy (born 1946)
Arthur Danto (1924–2013)[a][b][c]
Donald Davidson (1917–2003)[a][b][c][d][e]
Brian Davies (born 1951)
Michael Davis (born 1943)
Simone de Beauvoir (1908–1986)[b][c][d][e]
Alain de Benoist (born 1943)
Alain de Botton (born 1969)
Bruno de Finetti (1906–1985)[b][c]
Paul de Man (1919–1983)[d]
Guy Debord (1931–1994)
Gilles Deleuze (1925–1995)[b][c][d][e]
Bernard Delfgaauw (1912–1993)
Daniel Dennett (born 1942)[a][b][c][d]
Douglas Den Uyl (born 1950)
Jacques Derrida (1930–2004)[a][b][c][d][e]
Vincent Descombes (born 1943)
Sousa Dias (born 1956)
Daniel Dombrowski (born 1953)
Keith Donnellan (1931–2015)
Fred Dretske (1932–2013)[a][b][c]
Hubert Dreyfus (born 1929)
Michael Dummett (1925–2011)[a][b][c][d]
Ronald Dworkin (1931–2013)[a][b][c][d]
Miroslaw Dzielski (1941–1989)
William A. Earle (1919–1988)
John Earman (born 1942)[c]
Umberto Eco (1932–2016)[a]
Dorothy Edgington (born 1941)
James M. Edie (1927–1998)
Paul Edwards (1923–2004)[b][c]
Mircea Eliade (1907–1986)[d]
Ignacio Ellacuria (1930–1989)
Jacques Ellul (1912–1994)
Jon Elster (born 1940)[b][c]
John Etchemendy (born 1952)
Gareth Evans (1946–1980)[b][c][d]
Stanley Eveling (1925–2008)
Emmanuel Chukwudi Eze (1963–2007)
Emil Fackenheim (1916–2003)[d][e]
Frantz Fanon (1925–1961)[b][c][d]
Austin Marsden Farrer (1904–1968)[d]
Solomon Feferman (born 1928)
Herbert Feigl (1902–1988)
Joel Feinberg (1926–2004)[b][c]
