Isaac ben Judah Abravanel, (1437–1508)[1][2][3]
Alexander Gerard, (1728–1795)[d]
Giacinto Sigismondo Gerdil, (1718–1802)[d]
Thomas Gisbourne, (1758–1846)
William Godwin, (1756–1836)[a][b][c][d][e]
Johann Wolfgang von Goethe, (1749–1832)[a][b][c][d]
George Grote, (1794–1871)
Johann Georg Hamann, (1730–1788)[a][d][e]
Sir William Hamilton, (1788–1856)[a][b][c][d][f]
Renn Dickson Hampden, (1793–1868)[f]
David Hartley, (1705–1757)[a][b][c][d][e]
Julius Charles Hare, (1795–1855)[f]
Graves Chamney Haughton, (1788–1849)[f]
Laetitia Matilda Hawkins, (1759–1851)[f]
David Ramsay Hay, (1798–1866)[f]
Mary Hays, (1760–1843)[f]
Francis Haywood, (1798–1858)[f]
William Hazlitt, (1778–1830)[f]
G.W.F. Hegel, (1770–1831)[a][b][c][d][e]
Claude Adrien Helvétius, (1715–1771)[a][b][c][d]
Johann Friedrich Herbart, (1776–1841)[a][d]
Johann Gottfried Herder, (1744–1803)[a][b][c][d][e]
John Herschel, (1792–1871)[f]
Samuel Heywood, (1753–1828)[f]
Laurens Perseus Hickok, (1798–1888)
Hermann Friedrich Wilhelm Hinrichs, (1794–1861)
Thomas Hodgskin, (1787–1869)[f]
Josef Hoëné-Wronski, (1778–1853)
Baron d'Holbach, (1723–1789)[a][b][c][e]
Friedrich Hölderlin, (1770–1843)[a][d]
John Hoppus, (1789–1875)[f]
Wilhelm von Humboldt, (1767–1835)[a][b][c][d][e]*
Friedrich Heinrich Jacobi, (1743–1819)[a][b][c][d][e]
Thomas Jefferson, (1743–1826)[b][c][d]
Alexander Bryan Johnson, (1786–1867)[d]
Dr. Samuel Johnson, (1709–1784)[b][c][d]
Théodore Simon Jouffroy, (1796–1842)
Heinrich von Kleist, (1777–1811)[a]
Richard Payne Knight, (1750–1824)
Martin Knutzen, (1713–1751)[d]
Hugo Kołłątaj, (1750–1812)
Karl Christian Friedrich Krause, (1781–1832)[a][d]
Nachman Krochmal, (1785–1840)[d]
Wilhelm Traugott Krug, (1770–1842)
Julien Offray de La Mettrie, (1709–1751)[a][b][c][d]
Jean-Baptiste Lamarck, (1744–1829)[b][c]
Johann Heinrich Lambert, (1728–1777)[a][d]
Lamennais, (1752–1854)
Pierre-Simon Laplace, (1749–1827)[a][b][c]
Pierre Laromiguière, (1756–1837)
Giacomo Leopardi, (1798–1837)
Pierre Leroux, (1798–1871)[a]
Gotthold Ephraim Lessing, (1729–1781)[a][b][c][d]
Georg Christoph Lichtenberg, (1742–1799)[b][c][d]
Carl Linnaeus, (1707–1778)[d]
Gabriel Bonnot de Mably, (1709–1785)
Salomon Maimon, (1753–1800)[a][d][e]
Maine de Biran, (1766–1824)[b][c][d]
Moses Mendelssohn, (1729–1786)[a][b][c][d][e]
James Mill, (1773–1836)[a][b][c][d][e]
John Millar, (1735–1801)[d]
Lord Monboddo, (1714–1799)[d]
Motoori Norinaga, (1730–1801)[d]
Novalis, (1772–1801)[a]
Lorenz Oken, (1779–1851)[d]
James Oswald, (1703–1793)[d]
Thomas Paine, (1737–1809)[a][b][c][d]
William Paley, (1743–1805)[a][d]
Thomas Percival, (1740–1804)[a]
Issac de Pinto, (1715–1787)
Richard Price, (1723–1791)[a][b][c][d]
Joseph Priestley, (1733–1804)[a][b][c][d]
Daniel Raymond, (1786–1849)
August Wilhelm Rehberg, (fl. late 18th century)[e]*
Thomas Reid, (1710–1796)[a][b][c][d][e]
Karl Leonhard Reinhold, (1757–1823)[a][d][e]
David Ricardo, (1772–1823)
Antonio Rosmini-Serbati, (1797–1855)[a][d][e]
Jean Jacques Rousseau, (1712–1778)[a][b][c][d]
Pierre Paul Royer-Collard, (1763–1845)
Mulla Hadi Sabzevari, (1797–1873)[d]
Marquis de Sade, (1740–1814)[a]
Claude Henri de Rouvroy, Comte de Saint-Simon, (1760–1825)[a][b][c][d]
Friedrich Karl von Savigny, (1779–1861)[d]
Friedrich von Schlegel, (1772–1829)[a][c][d][e]*
Friedrich Schleiermacher, (1768–1834)[a][c][d][e]
Arthur Schopenhauer, (1788–1860)[a][b][c][d][e]
Gottlob Ernst Schulze, (1761–1833)[a]
Shah Wali Allah, (1703–1762)[d]
Lady Mary Shepherd, (1777–1847)[a]
Heinrich Christoph Wilhelm Sigwart, (1789–1844)
Hryhori Skovoroda, (1722–1794)[d]
Adam Smith, (1723–1790)[a][b][c][d]
Jan Sniadecki, (1756–1830)
Karl Wilhelm Ferdinand Solger, (1780–1890)
Anne Louise Germaine de Staël, (1766–1817)[d]
Stanislaw Staszic, (1755–1826)
Dugald Stewart, (1753–1828)[b][c][d]
Tai Chen , (1724–1777)[a][d]
Johannes Nikolaus Tetens, (1736–1807)[a][d]
William Thompson, (1775–1833)
Tominaga Nakamoto, (1715–1746)[d]
Abraham Tucker, (1705–1774)[d]
Emerich de Vattel, (1714–1767)
Vauvenargues, (1715–1747)[a]
William Whewell, (1794–1866)[a][b][c][d][e]
John Witherspoon, (1723–1794)[d]
Mary Wollstonecraft, (1759–1797)[a][b][c][d]
Yü Cheng-hsieh, (1775–1840)
